elementos,coutingSort,heapSort,mergeSort,quickSort
100000,1.7037683,15.9292794,15.9370393,11.0595541
200000,1.1413114,29.0883687,29.478384,21.807376
300000,1.8502004,45.9053643,43.1428544,40.3309178
400000,2.5162486,61.5710897,54.3717941,64.847421
500000,3.2707574,80.4190194,70.3980915,93.5280958
600000,3.8185393,91.9412283,82.1025136,126.2526873
