elementos,coutingSort,heapSort,insertionSort,mergeSort,quickSort,selectionSort,bubleSort
100000,44.191,1057.488,19639.522,721.263,14351.799,2420.584,7821.912
200000,105.499,2291.4,84263.118,1674.501,31634.849,4841.168,39928.918
300000,139.778,3291.445,199482.274,2746.357,50412.368,42808.75,76618.006
400000,175.463,4381.164,392586.398,3192.766,69904.075,76932.768,82347.35
500000,210.545,5623.362,659353.894,4041.045,90333.804,119019.272,132176.502
600000,272.333,7504.632,1421605.756,4957.429,110914.529,168126.054,190371.504
